,Country,Region,Electricity,Electricity_fj5,Education,Education_fj5,Energy,Energy_fj5,Reserves,Reserves_fj5
116,Madagascar,Africa,759000,0,31,1,1816000,0,2632000000,0
117,Estonia,Europe,3225000,0,66,3,73679000,1,2593000000,0
118,Haiti,Central America and the Caribbean,472000,0,14,0,3486000,0,2586000000,0
119,"Bahamas, The",Central America and the Caribbean,608000,0,28,1,104409000,1,2512000000,0
120,Slovenia,Europe,4739000,0,58,3,104502000,1,2370000000,0
121,Mauritania,Africa,812000,0,19,0,14135000,0,2039000000,0
122,Rwanda,Africa,294000,0,38,1,1808000,0,1834000000,0
123,Senegal,Africa,1772000,0,55,2,8303000,0,1827000000,0
124,Bolivia,South America,4375000,0,98,4,29340000,0,1800000000,0
125,Cyprus,Europe,2288000,0,61,3,107188000,1,1789000000,0
126,Laos,East and Southeast Asia,12738000,0,23,0,34463000,0,1770000000,0
127,Barbados,Central America and the Caribbean,320000,0,65,3,68293000,1,1606000000,0
128,Fiji,Australia and Oceania,427000,0,57,3,25375000,0,1548000000,0
129,Guinea,Africa,1060000,0,22,0,5235000,0,1499000000,0
130,Aruba,Central America and the Caribbean,305000,0,55,2,153952000,2,1468000000,0
131,Gabon,Africa,785000,0,32,1,22101000,0,1372000000,0
132,Suriname,South America,537000,0,50,2,60896000,1,1346000000,0
133,West Bank,Middle East,352000,0,53,2,14991000,0,1323000000,0
134,Gaza Strip,Middle East,352000,0,53,2,14991000,0,1323000000,0
135,Niger,Africa,377000,0,38,1,1772000,0,1314000000,0
136,Malta,Europe,829000,0,59,3,234698000,2,1223000000,0
137,Guyana,South America,259000,0,45,2,46045000,0,895275000,0
138,Lesotho,Africa,104000,0,87,4,8117000,0,854089000,0
139,Cabo Verde,Africa,200000,0,76,3,19999000,0,837881000,0
140,Timor-Leste,East and Southeast Asia,277000,0,42,2,6825000,0,781995000,0
141,"Congo, Republic of the",Africa,842000,0,45,2,7351000,0,715391000,0
142,Benin,Africa,505000,0,30,1,6472000,0,698900000,0
143,Solomon Islands,Australia and Oceania,37000,0,128,4,5655000,0,688220000,0
144,Seychelles,Africa,156000,0,52,2,98847000,1,682794000,0
145,Bhutan,South Asia,2344000,0,70,3,64082000,1,654481000,0
146,Mali,Africa,1222000,0,44,2,4307000,0,647800000,0
147,Vanuatu,Australia and Oceania,39000,0,22,0,12934000,0,643768000,0
148,Liberia,Africa,199000,0,27,0,1822000,0,599660000,0
